TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,14,Dayside Nadir,UVIS Switch OFF
-1,2,1,Dayside Nadir,UVIS Switch OFF
81,3,3,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
95,4,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
-1,5,14,Dayside Nadir,UVIS Switch OFF
79,6,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,7,14,Dayside Nadir,UVIS Switch OFF
145,8,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,9,1,Dayside Nadir,UVIS Switch OFF
81,10,3,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
89,11,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
79,12,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,13,14,Dayside Nadir,UVIS Switch OFF
-1,14,1,Dayside Nadir,UVIS Switch OFF
81,15,3,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
95,16,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
