S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2026 MAR 14 00:24:00,-64.7726,-172.0102,252.637,15.7681,55.9348,4.1864e-14,55.9348
TGO,2026 MAR 14 00:21:00,-60.3842,-168.5538,380.7126,15.95,55.7222,0.29159,55.7395

MRO,2026 MAR 14 07:54:00,-60.8058,77.8653,252.1534,15.7228,54.2342,2.075e-14,54.2342
TGO,2026 MAR 14 08:12:00,-62.4217,73.3343,379.4345,15.7125,54.7161,0.49694,54.7664

MRO,2026 MAR 15 11:57:00,-60.0799,28.0894,253.9194,15.6925,53.654,1.0183e-14,53.654
TGO,2026 MAR 15 11:42:00,-63.9892,26.5094,378.3127,15.3439,52.9603,1.1189,51.8836

MRO,2026 MAR 15 15:42:00,-58.3545,-26.9951,254.6117,15.6683,52.9075,1.1468e-14,52.9075
TGO,2026 MAR 15 15:39:00,-60.835,-28.0654,381.3546,15.5483,52.913,0.84535,53.6521

MRO,2026 MAR 16 01:03:00,-57.8974,-163.5885,253.4206,15.6581,52.6464,2.3801e-14,52.6464
TGO,2026 MAR 16 01:30:00,-56.736,-168.5779,380.6775,15.7631,53.1127,0.53713,53.1762

MRO,2026 MAR 16 23:30:00,-55.404,-131.5938,253.4109,15.6308,51.5938,4.0357e-14,51.5938
TGO,2026 MAR 16 23:06:00,-59.5464,-129.3836,378.4304,15.3892,51.1917,0.52826,51.3741

MRO,2026 MAR 17 03:15:00,-53.5484,173.2492,252.8951,15.6019,50.8216,2.9194e-14,50.8216
TGO,2026 MAR 17 03:03:00,-56.1159,175.6874,380.7764,15.5697,51.3034,0.53509,51.3545

MRO,2026 MAR 17 08:51:00,-55.5188,91.962,252.548,15.6306,51.5851,6.0037e-14,51.5851
TGO,2026 MAR 17 08:57:00,-55.8264,89.9555,379.2127,15.5942,51.3825,4.313,47.1172

MRO,2026 MAR 17 12:36:00,-53.1928,36.8099,252.771,15.6019,50.689,1.8271e-14,50.689
TGO,2026 MAR 17 12:54:00,-52.0939,33.8879,378.1914,15.6989,51.2676,0.55923,51.3413

MRO,2026 MAR 18 11:03:00,-51.1059,68.8757,252.0853,15.5794,49.8784,4.5981e-14,49.8784
TGO,2026 MAR 18 10:30:00,-55.0779,73.4679,378.7198,15.3506,49.0922,0.71813,49.6701

MRO,2026 MAR 18 14:48:00,-49.0866,13.7984,254.4022,15.5556,49.1827,1.8062e-14,49.1827
TGO,2026 MAR 18 14:27:00,-51.3888,17.7926,378.7426,15.4814,49.054,1.9164,50.9479

MRO,2026 MAR 18 18:33:00,-47.3634,-41.1273,253.6323,15.5419,48.6826,3.1964e-14,48.6826
TGO,2026 MAR 18 18:24:00,-48.1258,-38.584,380.8314,15.5656,49.0658,3.3183,52.3795

MRO,2026 MAR 19 00:09:00,-48.9253,-122.625,252.7407,15.5567,49.124,1.4575e-14,49.124
TGO,2026 MAR 19 00:18:00,-47.3811,-124.3749,378.9814,15.5858,49.101,0.57316,49.1872

MRO,2026 MAR 20 06:06:00,-42.552,159.4202,253.6701,15.4956,47.3069,8.6345e-14,47.3069
TGO,2026 MAR 20 05:48:00,-43.4076,163.6146,380.1085,15.4833,47.292,2.6629,44.7612

MRO,2026 MAR 20 09:51:00,-40.6194,104.6181,254.1548,15.49,47.0179,2.7175e-14,47.0179
TGO,2026 MAR 20 09:45:00,-40.0403,106.2124,379.0973,15.4992,47.0667,3.2899,50.3425

MRO,2026 MAR 20 15:27:00,-42.0627,22.94,255.0294,15.4925,47.188,3.8693e-14,47.188
TGO,2026 MAR 20 15:39:00,-39.0246,20.2569,379.6365,15.5083,47.0786,0.57983,47.2046

MRO,2026 MAR 20 19:12:00,-40.3168,-31.9643,255.0856,15.4803,46.8542,4.5981e-14,46.8542
TGO,2026 MAR 20 19:36:00,-35.7502,-36.5465,381.4686,15.5639,47.6094,0.58396,47.1512

MRO,2026 MAR 22 01:09:00,-33.3772,-109.637,253.9975,15.4378,46.0097,2.0116e-14,46.0097
TGO,2026 MAR 22 01:06:00,-31.6446,-109.4217,380.116,15.4036,45.63,0.5616,45.7913

MRO,2026 MAR 22 04:54:00,-31.2256,-164.5959,255.4965,15.4219,45.8778,3.556e-14,45.8778
TGO,2026 MAR 22 05:03:00,-27.9429,-166.2962,382.4508,15.4544,46.57,0.56225,46.1764

MRO,2026 MAR 22 06:45:00,-35.1828,168.6342,254.3197,15.4369,45.9832,4.6118e-14,45.9832
TGO,2026 MAR 22 07:00:00,-30.7049,163.9098,381.3561,15.3653,45.1761,0.69235,45.7666

MRO,2026 MAR 22 08:42:00,-19.7747,139.2832,257.9724,15.3772,46.9619,1.7992e-14,46.9619
TGO,2026 MAR 22 09:00:00,-24.6733,136.4581,381.6354,15.4808,47.3706,0.52096,47.7006

