MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2024 JUN 08 18:06:00,0.89238,-158.322,269.458,14.9619,50.2492,1.2728e-14,50.2492,2024 JUN 08 17:45:00,0.31071,-153.7167,391.2264,14.9283,49.5026,0.59457,50.0971
2024 JUN 08 19:57:00,-3.1664,174.8463,267.2358,14.9728,48.1472,2.2409e-14,48.1472,2024 JUN 08 19:45:00,-5.8068,178.4483,388.7675,15.0183,47.3875,0.32732,47.2495
2024 JUN 08 20:03:00,15.9989,172.5019,279.3961,14.9136,59.3583,3.556e-15,59.3583,2024 JUN 08 19:36:00,20.7424,173.6846,403.1298,14.5547,59.2944,0.092207,59.2724
2024 JUN 08 21:48:00,-7.2795,148.0274,264.9591,14.9844,46.231,4.2937e-14,46.231,2024 JUN 08 21:45:00,-11.9166,150.5278,385.9541,15.1025,45.761,0.41433,45.9639
2024 JUN 08 21:51:00,2.3315,146.8608,270.229,14.9553,51.0042,7.2984e-15,51.0042,2024 JUN 08 21:39:00,5.8599,147.4764,393.8631,14.8017,51.3433,0.21006,51.4478
2024 JUN 08 21:54:00,11.9134,145.6892,276.3955,14.9258,56.7046,4.41e-14,56.7046,2024 JUN 08 21:36:00,14.7119,145.9028,398.9861,14.6483,55.7097,0.12273,55.7388
2024 JUN 08 23:42:00,-1.7404,120.0507,267.5015,14.9675,48.8469,1.4292e-14,48.8469,2024 JUN 08 23:39:00,-0.11705,120.2636,389.7221,14.9331,49.3172,6.8181,43.2372
2024 JUN 09 01:33:00,-5.6703,93.237,264.9493,14.9797,46.9512,7.1673e-15,46.9512,2024 JUN 09 01:39:00,-6.5556,91.2812,385.9891,14.9467,46.0836,4.1986,50.1127
2024 JUN 09 03:24:00,-9.4305,66.4121,263.0395,14.9908,45.3251,7.1119e-15,45.3251,2024 JUN 09 03:39:00,-12.8692,64.0805,383.3048,15.0786,45.0619,1.4929,43.6749
2024 JUN 09 03:27:00,0.19149,65.2239,267.9581,14.9603,49.83,2.0116e-14,49.83,2024 JUN 09 03:33:00,4.9261,60.9924,391.1874,14.7756,50.4438,1.1108,49.5216
2024 JUN 09 03:30:00,9.785,64.0367,273.8016,14.9297,55.3424,1.834e-14,55.3424,2024 JUN 09 03:30:00,13.7838,59.4042,396.3565,14.6211,54.7626,0.73347,54.1923
2024 JUN 10 05:30:00,-26.2657,46.258,257.6043,15.0367,40.7925,6.58e-14,40.7925,2024 JUN 10 05:15:00,-22.6533,49.0266,381.2209,14.9781,40.6744,6.0543,46.7287
2024 JUN 10 07:24:00,-20.6339,18.1934,260.4001,15.0139,41.6431,3.6124e-14,41.6431,2024 JUN 10 07:12:00,-19.8583,20.0117,382.751,14.9406,40.8548,1.7668,42.5883
2024 JUN 10 09:15:00,-24.7689,-8.6006,259.2311,15.0275,40.9153,6.58e-14,40.9153,2024 JUN 10 09:12:00,-25.7504,-7.0222,382.1163,15.0839,41.5015,3.9567,37.5452
2024 JUN 10 12:57:00,-32.8843,-62.1222,255.5546,15.0586,40.5207,4.8025e-14,40.5207,2024 JUN 10 13:09:00,-29.1927,-64.3747,382.0282,15.1028,41.3011,1.8631,39.4565
2024 JUN 10 13:00:00,-23.1973,-63.4309,257.7612,15.02,41.1217,4.3725e-14,41.1217,2024 JUN 10 13:06:00,-20.3023,-66.2852,383.9392,14.9269,40.5494,2.7533,37.8654
