MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2020 OCT 03 02:03:00,-9.6774,93.1553,261.3065,14.8328,42.8033,1.414e-14,42.8033,2020 OCT 03 01:33:00,-5.3875,97.8106,387.4954,14.6567,42.4438,1.8294,43.9419
2020 OCT 03 09:39:00,13.8146,-18.9143,275.5716,14.7553,55.2236,4.6879e-14,55.2236,2020 OCT 03 09:30:00,10.4466,-14.8226,397.0882,14.8822,54.3903,1.0567,55.1263
2020 OCT 03 11:30:00,9.9864,-45.75,272.5182,14.7661,52.7735,1.5003e-14,52.7735,2020 OCT 03 11:27:00,7.6888,-44.1633,395.7979,14.8233,51.953,0.75978,51.5501
2020 OCT 03 11:33:00,19.5558,-46.9669,279.1031,14.7336,59.0285,9.4778e-14,59.0285,2020 OCT 03 11:30:00,16.4782,-42.4016,400.8738,14.9892,59.5346,0.27811,59.4206
2020 OCT 03 13:24:00,15.8502,-73.8091,276.1645,14.7439,56.5002,3.4986e-14,56.5002,2020 OCT 03 13:27:00,13.8731,-71.9518,399.3459,14.9164,57.0021,0.12084,57.0733
2020 OCT 03 15:15:00,12.244,-100.6397,273.568,14.755,54.1411,1.8883e-14,54.1411,2020 OCT 03 15:24:00,11.3324,-101.409,397.5766,14.8497,54.5843,0.1477,54.6807
2020 OCT 03 17:06:00,8.6521,-127.4528,271.5189,14.7672,51.9083,5.6561e-14,51.9083,2020 OCT 03 17:21:00,8.7811,-130.8431,396.7153,14.7844,52.1875,0.17623,52.3093
2020 OCT 04 02:24:00,-0.66136,97.2504,265.7888,14.7953,46.6589,1.2723e-14,46.6589,2020 OCT 04 02:18:00,1.2949,96.3636,382.3814,14.6389,45.8275,175.0136,130.3506
2020 OCT 04 02:30:00,18.5158,94.8225,277.9066,14.7306,58.212,2.5642e-14,58.212,2020 OCT 04 02:27:00,15.5345,99.6869,380.107,15.0061,59.0598,175.4623,117.197
2020 OCT 04 15:30:00,2.1195,-94.1348,266.96,14.7808,48.0219,6.1719e-15,48.0219,2020 OCT 04 14:57:00,5.7911,-89.9719,394.533,14.5233,47.2178,0.14168,47.3489
2020 OCT 04 19:15:00,4.4935,-148.985,269.3478,14.7722,49.3166,8.996e-15,49.3166,2020 OCT 04 18:54:00,9.4643,-147.1734,397.4149,14.5525,49.9793,0.65264,50.4452
2020 OCT 05 04:45:00,33.6091,70.6836,288.4015,14.6592,68.8224,7.119e-14,68.8224,2020 OCT 05 04:51:00,31.1109,73.2026,408.6834,14.9244,69.1235,0.078415,69.0523
2020 OCT 05 06:36:00,30.1117,43.9396,287.253,14.6761,66.2463,3.1806e-14,66.2463,2020 OCT 05 06:48:00,28.5831,43.5748,408.2838,14.8464,66.5627,0.074816,66.5018
2020 OCT 05 08:27:00,26.3753,17.2116,284.8839,14.6942,63.5531,4.8861e-14,63.5531,2020 OCT 05 08:45:00,25.8453,13.9026,406.5316,14.7653,63.7982,0.061944,63.7561
2020 OCT 05 10:15:00,12.9627,-8.3309,274.8411,14.7425,54.3831,4.0357e-14,54.3831,2020 OCT 06 10:15:00,17.6564,-4.4031,401.2124,14.3533,53.7468,0.6768,53.4341
