Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2018 MAY 19 16:18:33,2018 MAY 19 18:16:34,7081,2018 MAY 19 16:16:33,2018 MAY 19 17:15:53,3560,2018 MAY 19 17:15:54,2018 MAY 19 18:14:34,3520,66.6295,2018 MAY 19 17:45:05
4,4,2,2018 MAY 19 18:16:35,2018 MAY 19 20:14:37,7082,2018 MAY 19 18:14:35,2018 MAY 19 19:13:57,3562,2018 MAY 19 19:13:58,2018 MAY 19 20:12:37,3519,66.4308,2018 MAY 19 19:43:09
5,5,3,2018 MAY 19 20:14:38,2018 MAY 19 22:12:37,7079,2018 MAY 19 20:12:38,2018 MAY 19 21:11:58,3560,2018 MAY 19 21:11:59,2018 MAY 19 22:10:37,3518,66.2513,2018 MAY 19 21:41:10
3,3,4,2018 MAY 19 22:12:38,2018 MAY 20 00:10:33,7075,2018 MAY 19 22:10:38,2018 MAY 19 23:09:55,3557,2018 MAY 19 23:09:56,2018 MAY 20 00:08:33,3517,66.0534,2018 MAY 19 23:39:05
5,5,5,2018 MAY 20 00:10:34,2018 MAY 20 02:08:28,7074,2018 MAY 20 00:08:34,2018 MAY 20 01:07:50,3556,2018 MAY 20 01:07:51,2018 MAY 20 02:06:28,3517,65.8062,2018 MAY 20 01:37:00
4,4,6,2018 MAY 20 02:08:29,2018 MAY 20 04:06:27,7078,2018 MAY 20 02:06:29,2018 MAY 20 03:05:47,3558,2018 MAY 20 03:05:48,2018 MAY 20 04:04:27,3519,65.5573,2018 MAY 20 03:34:59
3,3,7,2018 MAY 20 04:06:28,2018 MAY 20 06:04:29,7081,2018 MAY 20 04:04:28,2018 MAY 20 05:03:48,3560,2018 MAY 20 05:03:49,2018 MAY 20 06:02:29,3520,65.3174,2018 MAY 20 05:33:00
4,4,8,2018 MAY 20 06:04:30,2018 MAY 20 08:02:31,7081,2018 MAY 20 06:02:30,2018 MAY 20 07:01:49,3559,2018 MAY 20 07:01:50,2018 MAY 20 08:00:31,3521,65.0923,2018 MAY 20 07:31:01
3,3,9,2018 MAY 20 08:02:32,2018 MAY 20 10:00:30,7078,2018 MAY 20 08:00:32,2018 MAY 20 08:59:49,3557,2018 MAY 20 08:59:50,2018 MAY 20 09:58:30,3520,64.8873,2018 MAY 20 09:28:59
5,5,10,2018 MAY 20 10:00:31,2018 MAY 20 11:58:25,7074,2018 MAY 20 09:58:31,2018 MAY 20 10:57:46,3555,2018 MAY 20 10:57:47,2018 MAY 20 11:56:25,3518,64.6898,2018 MAY 20 11:26:56
5,5,11,2018 MAY 20 11:58:26,2018 MAY 20 13:56:20,7074,2018 MAY 20 11:56:26,2018 MAY 20 12:55:40,3554,2018 MAY 20 12:55:41,2018 MAY 20 13:54:20,3519,64.4642,2018 MAY 20 13:24:51
4,4,12,2018 MAY 20 13:56:21,2018 MAY 20 15:54:18,7077,2018 MAY 20 13:54:21,2018 MAY 20 14:53:35,3554,2018 MAY 20 14:53:36,2018 MAY 20 15:52:18,3522,64.1956,2018 MAY 20 15:22:47
7,7,13,2018 MAY 20 15:54:19,2018 MAY 20 17:52:18,7079,2018 MAY 20 15:52:19,2018 MAY 20 16:51:35,3556,2018 MAY 20 16:51:36,2018 MAY 20 17:50:18,3522,63.9326,2018 MAY 20 17:20:47
4,4,14,2018 MAY 20 17:52:19,2018 MAY 20 19:50:18,7079,2018 MAY 20 17:50:19,2018 MAY 20 18:49:37,3558,2018 MAY 20 18:49:38,2018 MAY 20 19:48:18,3520,63.7031,2018 MAY 20 19:18:48
7,7,15,2018 MAY 20 19:50:19,2018 MAY 20 21:48:18,7079,2018 MAY 20 19:48:19,2018 MAY 20 20:47:38,3559,2018 MAY 20 20:47:39,2018 MAY 20 21:46:18,3519,63.5001,2018 MAY 20 21:16:49
5,5,16,2018 MAY 20 21:48:19,2018 MAY 20 23:46:14,7075,2018 MAY 20 21:46:19,2018 MAY 20 22:45:35,3556,2018 MAY 20 22:45:36,2018 MAY 20 23:44:14,3518,63.3013,2018 MAY 20 23:14:45
4,4,17,2018 MAY 20 23:46:15,2018 MAY 21 01:44:07,7072,2018 MAY 20 23:44:15,2018 MAY 21 00:43:28,3553,2018 MAY 21 00:43:29,2018 MAY 21 01:42:07,3518,63.0636,2018 MAY 21 01:12:38
3,3,18,2018 MAY 21 01:44:08,2018 MAY 21 03:42:04,7076,2018 MAY 21 01:42:08,2018 MAY 21 02:41:23,3555,2018 MAY 21 02:41:24,2018 MAY 21 03:40:04,3520,62.8024,2018 MAY 21 03:10:34
5,5,19,2018 MAY 21 03:42:05,2018 MAY 21 05:40:04,7079,2018 MAY 21 03:40:05,2018 MAY 21 04:39:21,3556,2018 MAY 21 04:39:22,2018 MAY 21 05:38:04,3522,62.5476,2018 MAY 21 05:08:34
4,4,20,2018 MAY 21 05:40:05,2018 MAY 21 07:38:05,7080,2018 MAY 21 05:38:05,2018 MAY 21 06:37:21,3556,2018 MAY 21 06:37:22,2018 MAY 21 07:36:05,3523,62.3037,2018 MAY 21 07:06:33
3,3,21,2018 MAY 21 07:38:06,2018 MAY 21 09:36:03,7077,2018 MAY 21 07:36:06,2018 MAY 21 08:35:20,3554,2018 MAY 21 08:35:21,2018 MAY 21 09:34:03,3522,62.0773,2018 MAY 21 09:04:31
5,5,22,2018 MAY 21 09:36:04,2018 MAY 21 11:33:59,7075,2018 MAY 21 09:34:04,2018 MAY 21 10:33:18,3554,2018 MAY 21 10:33:19,2018 MAY 21 11:31:59,3520,61.8669,2018 MAY 21 11:02:28
4,4,23,2018 MAY 21 11:34:00,2018 MAY 21 13:31:52,7072,2018 MAY 21 11:32:00,2018 MAY 21 12:31:11,3551,2018 MAY 21 12:31:12,2018 MAY 21 13:29:52,3520,61.651,2018 MAY 21 13:00:22
7,7,24,2018 MAY 21 13:31:53,2018 MAY 21 15:29:47,7074,2018 MAY 21 13:29:53,2018 MAY 21 14:29:04,3551,2018 MAY 21 14:29:05,2018 MAY 21 15:27:47,3522,61.3899,2018 MAY 21 14:58:16
7,7,25,2018 MAY 21 15:29:48,2018 MAY 21 17:27:45,7077,2018 MAY 21 15:27:48,2018 MAY 21 16:27:01,3553,2018 MAY 21 16:27:02,2018 MAY 21 17:25:45,3523,61.1092,2018 MAY 21 16:56:13
4,4,26,2018 MAY 21 17:27:46,2018 MAY 21 19:25:44,7078,2018 MAY 21 17:25:46,2018 MAY 21 18:25:01,3555,2018 MAY 21 18:25:02,2018 MAY 21 19:23:44,3522,60.855,2018 MAY 21 18:54:12
1,1,27,2018 MAY 21 19:25:45,2018 MAY 21 21:23:43,7078,2018 MAY 21 19:23:45,2018 MAY 21 20:23:02,3557,2018 MAY 21 20:23:03,2018 MAY 21 21:21:43,3520,60.633,2018 MAY 21 20:52:12
1,1,28,2018 MAY 21 21:23:44,2018 MAY 21 23:21:40,7076,2018 MAY 21 21:21:44,2018 MAY 21 22:20:59,3555,2018 MAY 21 22:21:00,2018 MAY 21 23:19:40,3520,60.427,2018 MAY 21 22:50:10
1,1,29,2018 MAY 21 23:21:41,2018 MAY 22 01:19:32,7071,2018 MAY 21 23:19:41,2018 MAY 22 00:18:52,3551,2018 MAY 22 00:18:53,2018 MAY 22 01:17:32,3519,60.2011,2018 MAY 22 00:48:02
4,4,30,2018 MAY 22 01:19:33,2018 MAY 22 03:17:26,7073,2018 MAY 22 01:17:33,2018 MAY 22 02:16:45,3552,2018 MAY 22 02:16:46,2018 MAY 22 03:15:26,3520,59.9367,2018 MAY 22 02:45:55
1,1,31,2018 MAY 22 03:17:27,2018 MAY 22 05:15:24,7077,2018 MAY 22 03:15:27,2018 MAY 22 04:14:41,3554,2018 MAY 22 04:14:42,2018 MAY 22 05:13:24,3522,59.6731,2018 MAY 22 04:43:52
1,1,32,2018 MAY 22 05:15:25,2018 MAY 22 07:13:23,7078,2018 MAY 22 05:13:25,2018 MAY 22 06:12:39,3554,2018 MAY 22 06:12:40,2018 MAY 22 07:11:23,3523,59.414,2018 MAY 22 06:41:51
4,4,33,2018 MAY 22 07:13:24,2018 MAY 22 09:11:22,7078,2018 MAY 22 07:11:24,2018 MAY 22 08:10:37,3553,2018 MAY 22 08:10:38,2018 MAY 22 09:09:22,3524,59.1688,2018 MAY 22 08:39:49
7,7,34,2018 MAY 22 09:11:23,2018 MAY 22 11:09:18,7075,2018 MAY 22 09:09:23,2018 MAY 22 10:08:34,3551,2018 MAY 22 10:08:35,2018 MAY 22 11:07:18,3523,58.9431,2018 MAY 22 10:37:45
1,1,35,2018 MAY 22 11:09:19,2018 MAY 22 13:07:11,7072,2018 MAY 22 11:07:19,2018 MAY 22 12:06:29,3550,2018 MAY 22 12:06:30,2018 MAY 22 13:05:11,3521,58.7247,2018 MAY 22 12:35:39
4,4,36,2018 MAY 22 13:07:12,2018 MAY 22 15:05:04,7072,2018 MAY 22 13:05:12,2018 MAY 22 14:04:20,3548,2018 MAY 22 14:04:21,2018 MAY 22 15:03:04,3523,58.4774,2018 MAY 22 14:33:32
7,7,37,2018 MAY 22 15:05:05,2018 MAY 22 17:03:00,7075,2018 MAY 22 15:03:05,2018 MAY 22 16:02:14,3549,2018 MAY 22 16:02:15,2018 MAY 22 17:01:00,3525,58.1918,2018 MAY 22 16:31:26
4,4,38,2018 MAY 22 17:03:01,2018 MAY 22 19:00:58,7077,2018 MAY 22 17:01:01,2018 MAY 22 18:00:13,3552,2018 MAY 22 18:00:14,2018 MAY 22 18:58:58,3524,57.9181,2018 MAY 22 18:29:24
1,1,39,2018 MAY 22 19:00:59,2018 MAY 22 20:58:56,7077,2018 MAY 22 18:58:59,2018 MAY 22 19:58:12,3553,2018 MAY 22 19:58:13,2018 MAY 22 20:56:56,3523,57.6743,2018 MAY 22 20:27:24
4,4,40,2018 MAY 22 20:58:57,2018 MAY 22 22:56:53,7076,2018 MAY 22 20:56:57,2018 MAY 22 21:56:11,3554,2018 MAY 22 21:56:12,2018 MAY 22 22:54:53,3521,57.4526,2018 MAY 22 22:25:21
3,3,41,2018 MAY 22 22:56:54,2018 MAY 23 00:54:46,7072,2018 MAY 22 22:54:54,2018 MAY 22 23:54:05,3551,2018 MAY 22 23:54:06,2018 MAY 23 00:52:46,3520,57.2318,2018 MAY 23 00:23:15
4,4,42,2018 MAY 23 00:54:47,2018 MAY 23 02:52:38,7071,2018 MAY 23 00:52:47,2018 MAY 23 01:51:57,3550,2018 MAY 23 01:51:58,2018 MAY 23 02:50:38,3520,56.9779,2018 MAY 23 02:21:06
1,1,43,2018 MAY 23 02:52:39,2018 MAY 23 04:50:34,7075,2018 MAY 23 02:50:39,2018 MAY 23 03:49:51,3552,2018 MAY 23 03:49:52,2018 MAY 23 04:48:34,3522,56.7078,2018 MAY 23 04:19:02
4,4,44,2018 MAY 23 04:50:35,2018 MAY 23 06:48:32,7077,2018 MAY 23 04:48:35,2018 MAY 23 05:47:47,3552,2018 MAY 23 05:47:48,2018 MAY 23 06:46:32,3524,56.4405,2018 MAY 23 06:16:59
3,3,45,2018 MAY 23 06:48:33,2018 MAY 23 08:46:31,7078,2018 MAY 23 06:46:33,2018 MAY 23 07:45:45,3552,2018 MAY 23 07:45:46,2018 MAY 23 08:44:31,3525,56.1813,2018 MAY 23 08:14:57
4,4,46,2018 MAY 23 08:46:32,2018 MAY 23 10:44:27,7075,2018 MAY 23 08:44:32,2018 MAY 23 09:43:42,3550,2018 MAY 23 09:43:43,2018 MAY 23 10:42:27,3524,55.9399,2018 MAY 23 10:12:53
1,1,47,2018 MAY 23 10:44:28,2018 MAY 23 12:42:20,7072,2018 MAY 23 10:42:28,2018 MAY 23 11:41:37,3549,2018 MAY 23 11:41:38,2018 MAY 23 12:40:20,3522,55.7146,2018 MAY 23 12:10:47
4,4,48,2018 MAY 23 12:42:21,2018 MAY 23 14:40:12,7071,2018 MAY 23 12:40:21,2018 MAY 23 13:39:29,3548,2018 MAY 23 13:39:30,2018 MAY 23 14:38:12,3522,55.4815,2018 MAY 23 14:08:39
3,3,49,2018 MAY 23 14:40:13,2018 MAY 23 16:38:06,7073,2018 MAY 23 14:38:13,2018 MAY 23 15:37:20,3547,2018 MAY 23 15:37:21,2018 MAY 23 16:36:06,3525,55.2083,2018 MAY 23 16:06:32
4,4,50,2018 MAY 23 16:38:07,2018 MAY 23 18:36:02,7075,2018 MAY 23 16:36:07,2018 MAY 23 17:35:16,3549,2018 MAY 23 17:35:17,2018 MAY 23 18:34:02,3525,54.9213,2018 MAY 23 18:04:28
3,3,51,2018 MAY 23 18:36:03,2018 MAY 23 20:33:59,7076,2018 MAY 23 18:34:03,2018 MAY 23 19:33:15,3552,2018 MAY 23 19:33:16,2018 MAY 23 20:31:59,3523,54.6584,2018 MAY 23 20:02:26
1,1,52,2018 MAY 23 20:34:00,2018 MAY 23 22:31:56,7076,2018 MAY 23 20:32:00,2018 MAY 23 21:31:13,3553,2018 MAY 23 21:31:14,2018 MAY 23 22:29:56,3522,54.4235,2018 MAY 23 22:00:24
