TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 SEP 12 11:54:00,84,84
2020 SEP 12 17:48:00,87,87
2020 SEP 15 10:39:00,120,120
2020 SEP 17 05:54:00,142,142
2020 SEP 17 11:48:00,145,145
2020 SEP 19 01:09:00,164,164
2020 SEP 23 19:12:00,222,222
2020 SEP 25 02:39:00,238,238
2020 SEP 25 12:30:00,243,243
2020 SEP 25 16:27:00,245,245
2020 SEP 26 19:57:00,259,259
2020 SEP 26 23:54:00,261,261
2020 SEP 28 09:21:00,278,278
2020 SEP 28 11:18:00,279,279
2020 SEP 28 13:18:00,280,280
2020 SEP 28 15:15:00,281,281
2020 SEP 28 19:12:00,283,283
2020 SEP 29 22:45:00,297,297
2020 SEP 30 06:39:00,301,301
2020 SEP 30 08:36:00,302,302
2020 SEP 30 12:33:00,304,304
2020 OCT 01 12:09:00,316,316
2020 OCT 01 16:06:00,318,318
2020 OCT 01 18:03:00,319,319
2020 OCT 01 22:00:00,321,321
2020 OCT 02 03:57:00,324,324
2020 OCT 02 05:57:00,325,325
2020 OCT 03 05:33:00,337,337
2020 OCT 03 07:30:00,338,338
2020 OCT 03 09:27:00,339,339
2020 OCT 03 11:24:00,340,340
