TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
68,1,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,2,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
79,3,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,4,1,Dayside Nadir,UVIS Switch OFF
68,5,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,6,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,7,1,Dayside Nadir,UVIS Switch OFF
79,8,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,9,1,Dayside Nadir,UVIS Switch OFF
-1,10,14,Dayside Nadir,UVIS Switch OFF
-1,11,1,Dayside Nadir,UVIS Switch OFF
-1,12,14,Dayside Nadir,UVIS Switch OFF
-1,13,1,Dayside Nadir,UVIS Switch OFF
-1,14,14,Dayside Nadir,UVIS Switch OFF
-1,15,1,Dayside Nadir,UVIS Switch OFF
79,16,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,17,1,Dayside Nadir,UVIS Switch OFF
-1,18,14,Dayside Nadir,UVIS Switch OFF
-1,19,1,Dayside Nadir,UVIS Switch OFF
79,20,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
72,21,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
79,22,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,23,14,Dayside Nadir,UVIS Switch OFF
-1,24,1,Dayside Nadir,UVIS Switch OFF
64,25,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
79,26,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,27,1,Dayside Nadir,UVIS Switch OFF
79,28,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
64,29,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,30,14,Dayside Nadir,UVIS Switch OFF
-1,31,1,Dayside Nadir,UVIS Switch OFF
-1,32,14,Dayside Nadir,UVIS Switch OFF
-1,33,1,Dayside Nadir,UVIS Switch OFF
-1,34,14,Dayside Nadir,UVIS Switch OFF
72,35,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,36,1,Dayside Nadir,UVIS Switch OFF
-1,37,14,Dayside Nadir,UVIS Switch OFF
64,38,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,39,14,Dayside Nadir,UVIS Switch OFF
-1,40,14,Dayside Nadir,UVIS Switch OFF
-1,41,1,Dayside Nadir,UVIS Switch OFF
-1,42,1,Dayside Nadir,UVIS Switch OFF
79,43,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,44,1,Dayside Nadir,UVIS Switch OFF
72,45,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,46,14,Dayside Nadir,UVIS Switch OFF
-1,47,1,Dayside Nadir,UVIS Switch OFF
-1,48,14,Dayside Nadir,UVIS Switch OFF
79,49,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
64,50,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,51,14,Dayside Nadir,UVIS Switch OFF
-1,52,14,Dayside Nadir,UVIS Switch OFF
68,53,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,54,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,55,1,Dayside Nadir,UVIS Switch OFF
