MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2021 JUN 19 21:27:00,72.298,140.5059,315.507,15.1278,56.9074,1.0668e-14,56.9074,2021 JUN 19 21:27:00,72.0181,140.1381,432.5504,15.1033,56.6538,0.085466,56.6868
2021 JUN 24 13:36:00,68.4707,-54.9949,311.9524,15.2633,54.9402,3.4732e-14,54.9402,2021 JUN 24 13:30:00,67.7994,-55.1094,432.6438,15.1583,54.0948,0.045911,54.1171
2021 JUN 26 06:42:00,63.4384,66.2993,308.2689,15.3569,52.8577,1.5003e-14,52.8577,2021 JUN 26 06:48:00,63.5565,65.4745,429.612,15.3992,53.1609,0.031435,53.1922
2021 JUN 27 18:12:00,59.6044,-91.0393,307.7532,15.4239,51.5682,4.0255e-14,51.5682,2021 JUN 27 18:12:00,59.5343,-89.4343,427.9619,15.5308,52.2882,4.0789,48.2185
2021 JUN 29 05:42:00,55.444,111.5306,305.5466,15.4844,50.4345,2.3155e-14,50.4345,2021 JUN 29 05:36:00,54.8627,112.5623,425.1611,15.4558,50.0179,0.97022,50.9822
2021 JUL 03 16:06:00,25.393,1.0604,285.0128,15.6903,50.1176,4.3272e-14,50.1176,2021 JUL 03 15:54:00,23.681,2.6961,405.5409,15.6047,49.2709,0.19527,49.466
2021 JUL 05 03:30:00,2.3218,-154.5645,269.364,15.7736,58.5577,3.556e-15,58.5577,2021 JUL 05 03:24:00,1.2501,-153.7412,392.8879,15.7311,58.4673,0.27099,58.622
2021 JUL 06 14:54:00,-20.5969,49.8508,258.1684,15.8597,71.6058,9.1133e-14,71.6058,2021 JUL 06 14:54:00,-21.4748,49.7565,382.4659,15.8533,72.0429,0.42477,72.057
2021 JUL 06 14:57:00,-10.9429,48.6092,261.8657,15.8256,65.8063,5.5546e-14,65.8063,2021 JUL 06 14:51:00,-12.6324,47.8152,384.9164,15.6753,64.8789,0.36258,64.9462
2021 JUL 08 02:18:00,-43.8889,-105.2641,252.5043,15.9769,86.8496,1.8062e-14,86.8496,2021 JUL 08 02:24:00,-43.266,-105.2093,379.482,16.0781,87.3469,8.1734,95.5046
2021 JUL 08 02:21:00,-34.1743,-106.7914,253.8964,15.9239,80.4402,2.4841e-14,80.4402,2021 JUL 08 02:21:00,-35.0722,-107.6729,380.4298,15.865,80.4169,0.48925,80.3686
2021 JUL 09 16:36:00,50.0422,-123.7253,299.4444,4.0272,88.9229,5.8733e-14,88.9229,2021 JUL 09 16:45:00,49.953,-125.3908,422.4551,4.0622,88.7082,0.92708,89.486
