Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Egress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,2,3539,0,0,0,1,0,2018 SEP 08 17:48:27,2018 SEP 08 18:03:43,2018 SEP 08 17:48:37,2018 SEP 08 18:03:43,N/A,N/A,2018 SEP 08 17:58:37,2018 SEP 08 18:03:43,2018 SEP 08 18:03:13,-42.0393,-28.6233,2018 SEP 08 17:59:07,-35.5586,-24.6132,2018 SEP 08 17:59:49,27.955,2338,4.6878,246.2249,30.4498,N/A,12.9563,43.2444,10,640,682,30,30,906,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,306,327,1235,1400002C000A028002AA1E1E038A000109D009D00000000000000000000000000000000002620132014704D3
1,1,2,0,4,3541,0,0,0,1,0,2018 SEP 08 21:44:15,2018 SEP 08 21:59:31,2018 SEP 08 21:44:25,2018 SEP 08 21:59:31,N/A,N/A,2018 SEP 08 21:54:25,2018 SEP 08 21:59:31,2018 SEP 08 21:59:01,-42.559,-86.4355,2018 SEP 08 21:54:55,-36.3446,-82.0422,2018 SEP 08 21:55:37,27.5485,2343,4.6825,246.3288,30.4498,N/A,12.9563,43.2444,10,640,682,30,30,906,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,306,327,1235,1400002C000A028002AA1E1E038A000109D009D00000000000000000000000000000000002620132014704D3
1,1,3,0,6,3543,0,0,0,1,0,2018 SEP 09 01:40:03,2018 SEP 09 01:55:16,2018 SEP 09 01:40:13,2018 SEP 09 01:55:16,N/A,N/A,2018 SEP 09 01:50:13,2018 SEP 09 01:55:16,2018 SEP 09 01:54:46,-42.8994,-144.0886,2018 SEP 09 01:50:43,-36.985,-139.5171,2018 SEP 09 01:51:24,27.0406,2349,4.6739,246.4327,30.1658,N/A,12.8293,42.8351,10,640,681,30,30,903,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,303,327,1228,1400002C000A028002A91E1E0387000109D009D0000000000000000000000000000000000262012F014704CC
1,1,4,0,8,3545,0,0,0,1,0,2018 SEP 09 05:35:58,2018 SEP 09 05:51:11,2018 SEP 09 05:36:08,2018 SEP 09 05:51:11,N/A,N/A,2018 SEP 09 05:46:08,2018 SEP 09 05:51:11,2018 SEP 09 05:50:41,-43.4052,158.0666,2018 SEP 09 05:46:38,-37.2283,161.8608,2018 SEP 09 05:47:20,26.5685,2354,4.5908,246.5366,30.1658,N/A,12.8293,42.8351,10,640,682,30,30,903,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,303,327,1229,1400002C000A028002AA1E1E0387000109D009D0000000000000000000000000000000000262012F014704CD
1,1,5,0,10,3547,0,0,0,1,0,2018 SEP 09 09:31:47,2018 SEP 09 09:47:00,2018 SEP 09 09:31:57,2018 SEP 09 09:47:00,N/A,N/A,2018 SEP 09 09:41:57,2018 SEP 09 09:47:00,2018 SEP 09 09:46:30,-43.9094,100.2376,2018 SEP 09 09:42:27,-37.7562,103.9063,2018 SEP 09 09:43:09,26.1726,2359,4.5506,246.6405,30.1658,N/A,12.8293,42.8351,10,640,682,30,30,903,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,303,327,1229,1400002C000A028002AA1E1E0387000109D009D0000000000000000000000000000000000262012F014704CD
1,1,6,0,12,3549,0,0,0,1,0,2018 SEP 09 13:27:33,2018 SEP 09 13:42:43,2018 SEP 09 13:27:43,2018 SEP 09 13:42:43,N/A,N/A,2018 SEP 09 13:37:43,2018 SEP 09 13:42:43,2018 SEP 09 13:42:13,-44.225,42.5972,2018 SEP 09 13:38:13,-38.3953,46.4896,2018 SEP 09 13:38:54,25.6555,2363,4.5456,246.7444,29.8819,N/A,12.7022,42.4258,10,640,681,30,30,900,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,300,327,1222,1400002C000A028002A91E1E0384000109D009D0000000000000000000000000000000000262012C014704C6
1,1,7,0,16,3553,0,0,0,1,0,2018 SEP 09 21:19:18,2018 SEP 09 21:34:26,2018 SEP 09 21:19:28,2018 SEP 09 21:34:26,N/A,N/A,2018 SEP 09 21:29:28,2018 SEP 09 21:34:26,2018 SEP 09 21:33:56,-45.1331,-73.03,2018 SEP 09 21:29:58,-39.9291,-68.3632,2018 SEP 09 21:30:38,24.7697,2374,4.5375,246.9522,29.6926,N/A,12.6176,42.1529,10,640,680,30,30,898,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,298,327,1217,1400002C000A028002A81E1E0382000109D009D0000000000000000000000000000000000262012A014704C1
1,1,8,0,18,3555,0,0,0,1,0,2018 SEP 10 01:15:04,2018 SEP 10 01:30:11,2018 SEP 10 01:15:14,2018 SEP 10 01:30:11,N/A,N/A,2018 SEP 10 01:25:14,2018 SEP 10 01:30:11,2018 SEP 10 01:29:41,-45.4872,-130.7334,2018 SEP 10 01:25:44,-40.3839,-126.1708,2018 SEP 10 01:26:24,24.2684,2379,4.5061,247.0561,29.598,N/A,12.5752,42.0165,10,640,680,30,30,897,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,297,327,1215,1400002C000A028002A81E1E0381000109D009D00000000000000000000000000000000002620129014704BF
1,1,9,0,22,3559,0,0,0,1,0,2018 SEP 10 09:06:48,2018 SEP 10 09:21:54,2018 SEP 10 09:06:58,2018 SEP 10 09:21:54,N/A,N/A,2018 SEP 10 09:16:58,2018 SEP 10 09:21:54,2018 SEP 10 09:21:24,-46.396,113.5856,2018 SEP 10 09:17:28,-41.0756,117.2163,2018 SEP 10 09:18:08,23.3537,2388,4.3806,247.2639,29.5034,N/A,12.5329,41.88,10,640,680,30,30,896,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,296,327,1213,1400002C000A028002A81E1E0380000109D009D00000000000000000000000000000000002620128014704BD
1,1,10,0,24,3561,0,0,0,1,0,2018 SEP 10 13:02:31,2018 SEP 10 13:17:35,2018 SEP 10 13:02:41,2018 SEP 10 13:17:35,N/A,N/A,2018 SEP 10 13:12:41,2018 SEP 10 13:17:35,2018 SEP 10 13:17:05,-46.7253,55.9019,2018 SEP 10 13:13:11,-41.882,60.1539,2018 SEP 10 13:13:51,22.8648,2391,4.3981,247.3678,29.3141,N/A,12.4482,41.6072,10,640,680,30,30,894,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,294,327,1209,1400002C000A028002A81E1E037E000109D009D00000000000000000000000000000000002620126014704B9
1,1,11,0,38,3575,0,0,0,1,0,2018 SEP 11 16:33:15,2018 SEP 11 16:48:13,2018 SEP 11 16:33:25,2018 SEP 11 16:48:13,N/A,N/A,2018 SEP 11 16:43:25,2018 SEP 11 16:48:13,2018 SEP 11 16:47:43,-49.3275,11.3847,2018 SEP 11 16:43:55,-45.2719,15.287,2018 SEP 11 16:44:33,19.4796,2420,4.1714,248.0952,28.7462,N/A,12.1941,40.7885,10,640,678,30,30,888,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,288,327,1195,1400002C000A028002A61E1E0378000109D009D00000000000000000000000000000000002620120014704AB
1,1,12,0,44,3581,0,0,0,1,0,2018 SEP 12 04:20:38,2018 SEP 12 04:35:33,2018 SEP 12 04:20:48,2018 SEP 12 04:35:33,N/A,N/A,2018 SEP 12 04:30:48,2018 SEP 12 04:35:33,2018 SEP 12 04:35:03,-50.3783,-162.0154,2018 SEP 12 04:31:18,-46.3661,-158.8495,2018 SEP 12 04:31:56,18.0315,2430,4.0314,248.4069,28.4623,N/A,12.0671,40.3792,10,640,678,30,30,885,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,285,327,1189,1400002C000A028002A61E1E0375000109D009D0000000000000000000000000000000000262011D014704A5
1,1,13,0,54,3591,0,0,0,1,0,2018 SEP 12 23:59:37,2018 SEP 13 00:14:30,2018 SEP 12 23:59:47,2018 SEP 13 00:14:30,N/A,N/A,2018 SEP 13 00:09:47,2018 SEP 13 00:14:30,2018 SEP 13 00:14:00,-52.1221,-91.2159,2018 SEP 13 00:10:17,-48.8049,-87.9181,2018 SEP 13 00:10:55,15.6331,2445,3.8756,248.9265,28.273,N/A,11.9824,40.1064,10,640,678,30,30,883,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,283,327,1185,1400002C000A028002A61E1E0373000109D009D0000000000000000000000000000000000262011B014704A1
1,1,14,0,60,3597,0,0,0,1,0,2018 SEP 13 11:47:00,2018 SEP 13 12:01:51,2018 SEP 13 11:47:10,2018 SEP 13 12:01:51,N/A,N/A,2018 SEP 13 11:57:10,2018 SEP 13 12:01:51,2018 SEP 13 12:01:21,-53.0958,95.2424,2018 SEP 13 11:57:40,-50.6422,99.3947,2018 SEP 13 11:58:17,14.1626,2452,3.8322,249.2383,28.0837,N/A,11.8978,39.8335,10,640,677,30,30,881,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,281,327,1180,1400002C000A028002A51E1E0371000109D009D000000000000000000000000000000000026201190147049C
1,1,15,0,66,3603,0,0,0,1,0,2018 SEP 13 23:34:21,2018 SEP 13 23:49:11,2018 SEP 13 23:34:31,2018 SEP 13 23:49:11,N/A,N/A,2018 SEP 13 23:44:31,2018 SEP 13 23:49:11,2018 SEP 13 23:48:41,-54.0011,-78.2881,2018 SEP 13 23:45:01,-51.1562,-75.6191,2018 SEP 13 23:45:38,12.6681,2460,3.6331,249.55,27.9891,N/A,11.8554,39.697,10,640,677,30,30,880,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,280,327,1178,1400002C000A028002A51E1E0370000109D009D000000000000000000000000000000000026201180147049A
