S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2020 JUN 13 01:27:00,-19.0396,101.68,257.7244,15.8197,54.5794,4.3754e-14,54.5794
TGO,2020 JUN 13 01:12:00,-17.1127,105.303,383.3978,15.8181,54.7698,0.45839,54.5674

MRO,2020 JUN 13 07:03:00,-20.5897,20.004,258.5585,15.8236,54.4822,2.736e-14,54.4822
TGO,2020 JUN 13 07:06:00,-16.0257,18.6577,384.9663,15.7825,54.3961,0.48529,54.7691

MRO,2020 JUN 13 09:00:00,-5.3013,-9.2312,264.4138,15.7719,56.4006,1.6849e-14,56.4006
TGO,2020 JUN 13 09:06:00,-9.9985,-9.0372,387.5655,15.8822,56.8794,0.38938,57.0516

MRO,2020 JUN 13 10:51:00,-9.2643,-36.0547,261.9298,15.7839,55.6156,6.0347e-14,55.6156
TGO,2020 JUN 13 11:03:00,-12.7637,-38.582,386.6975,15.81,55.2982,0.41757,55.4719

MRO,2020 JUN 13 14:36:00,-7.23,-90.9046,261.7289,15.7761,55.9728,2.1645e-14,55.9728
TGO,2020 JUN 13 15:00:00,-9.1821,-95.7411,387.2758,15.8428,56.485,0.38075,56.6563

MRO,2020 JUN 14 14:54:00,-8.8586,-85.5512,260.6334,15.7775,55.6106,1.1495e-14,55.6106
TGO,2020 JUN 14 14:36:00,-5.9145,-82.5599,388.9001,15.685,55.0009,0.34544,55.1671

MRO,2020 JUN 14 18:39:00,-6.6432,-140.3998,262.8237,15.7697,56.0351,3.3697e-14,56.0351
TGO,2020 JUN 14 18:33:00,-2.2068,-139.7002,391.2435,15.7189,56.5495,0.3037,56.7054

MRO,2020 JUN 14 20:36:00,8.7228,-169.614,271.8856,15.7194,60.4917,2.0735e-14,60.4917
TGO,2020 JUN 14 20:33:00,3.9395,-167.4821,394.592,15.8128,59.935,0.23295,60.0665

MRO,2020 JUN 14 22:30:00,14.3648,162.3716,275.7887,15.7006,62.6948,6.3691e-14,62.6948
TGO,2020 JUN 14 22:33:00,9.9773,164.7339,397.3305,15.9067,63.5443,0.16488,63.6462

MRO,2020 JUN 15 00:21:00,10.409,135.5632,272.737,15.7133,61.1264,4.0011e-14,61.1264
TGO,2020 JUN 15 00:30:00,7.1847,135.2027,394.5152,15.8353,61.4708,0.19577,61.5866

MRO,2020 JUN 15 02:12:00,6.5385,108.7513,269.4239,15.7261,59.7218,2.3494e-14,59.7218
TGO,2020 JUN 15 02:27:00,4.4819,105.7164,392.0457,15.7669,59.5052,0.22645,59.6338

MRO,2020 JUN 16 02:30:00,4.6906,114.1129,268.8232,15.7278,59.0945,2.5692e-14,59.0945
TGO,2020 JUN 16 02:03:00,7.7281,118.8958,393.8919,15.6086,58.6687,0.18906,58.7795

MRO,2020 JUN 16 06:15:00,6.9011,59.2647,270.0538,15.72,59.8576,3.4403e-14,59.8576
TGO,2020 JUN 16 06:00:00,11.4624,61.7706,396.1843,15.6436,60.7593,0.14756,60.8492

MRO,2020 JUN 16 10:06:00,27.8951,1.9906,286.0696,15.6478,69.0547,4.8478e-14,69.0547
TGO,2020 JUN 16 10:00:00,23.5834,6.5869,405.1488,15.8569,69.2129,0.032518,69.2386

MRO,2020 JUN 16 11:57:00,23.9303,-24.7867,282.3911,15.6628,67.107,3.4986e-14,67.107
TGO,2020 JUN 16 11:57:00,20.8235,-23.0628,403.5378,15.7775,66.8971,0.054889,66.9353

MRO,2020 JUN 16 13:48:00,20.0344,-51.6068,279.2791,15.6747,65.2569,2.1336e-14,65.2569
TGO,2020 JUN 16 13:54:00,18.1506,-52.6609,402.023,15.7017,64.6589,0.079063,64.7103

MRO,2020 JUN 16 17:33:00,22.1294,-106.5082,280.5224,15.6633,66.2053,2.9323e-14,66.2053
TGO,2020 JUN 16 17:51:00,21.7965,-109.7111,404.0816,15.7417,66.9758,0.046034,67.0073

MRO,2020 JUN 17 15:57:00,14.4004,-73.0805,274.8002,15.6872,62.7914,2.5839e-14,62.7914
TGO,2020 JUN 17 15:27:00,18.7199,-68.9588,402.245,15.4756,62.2765,0.072625,62.318

MRO,2020 JUN 17 23:33:00,37.5917,174.6005,293.7735,15.5942,74.2761,9.031e-15,74.2761
TGO,2020 JUN 17 23:24:00,34.4184,179.4917,413.2932,15.7742,74.2288,0.037047,74.2023

MRO,2020 JUN 18 01:24:00,33.6834,147.8701,290.7167,15.6122,72.1685,1.8271e-14,72.1685
TGO,2020 JUN 18 01:21:00,31.7119,149.6616,410.4157,15.6831,71.7757,0.025339,71.755

MRO,2020 JUN 18 03:15:00,29.793,121.1076,286.8114,15.6281,70.1229,2.4841e-14,70.1229
TGO,2020 JUN 18 03:18:00,29.0511,119.9035,407.1857,15.5964,69.3639,0.012883,69.3512

MRO,2020 JUN 18 07:00:00,31.9645,66.1861,287.5838,15.6153,71.2438,2.8448e-14,71.2438
TGO,2020 JUN 18 07:15:00,32.7375,63.1033,410.3787,15.6531,72.0791,0.031387,72.0528

MRO,2020 JUN 19 14:51:00,43.6961,-39.5829,296.1014,15.5542,77.8872,1.4224e-14,77.8872
TGO,2020 JUN 19 14:45:00,42.3718,-36.6494,417.7256,15.6522,77.9271,0.062219,77.8737

MRO,2020 JUN 19 16:42:00,39.887,-66.3192,293.2007,15.5717,75.7146,7.6134e-14,75.7146
TGO,2020 JUN 19 16:42:00,39.8641,-66.6842,416.287,15.5472,75.4795,0.060607,75.425

MRO,2020 JUN 19 18:33:00,36.2048,-93.0811,290.3854,15.5875,73.659,6.6645e-15,73.659
TGO,2020 JUN 19 18:39:00,37.4125,-96.5464,414.1562,15.4539,73.1216,0.056762,73.0684

MRO,2020 JUN 21 02:24:00,48.0347,161.0417,301.6031,15.5189,80.5734,4.1834e-14,80.5734
TGO,2020 JUN 21 02:09:00,47.1937,164.5638,420.8582,15.5103,79.9716,0.069089,79.9063

MRO,2020 JUN 21 04:15:00,44.118,134.4064,298.237,15.5431,78.3123,3.668e-14,78.3123
TGO,2020 JUN 21 04:06:00,44.6,134.2446,417.6546,15.3864,77.3321,0.073778,77.2609

MRO,2020 JUN 21 09:51:00,42.4864,52.7431,296.2828,15.5478,77.3712,2.8625e-14,77.3712
TGO,2020 JUN 21 10:00:00,45.6554,47.9481,419.882,15.3739,77.9632,0.074763,77.8905

MRO,2020 JUN 22 13:57:00,52.0128,1.6548,303.3204,15.4825,83.1153,3.2445e-14,83.1153
TGO,2020 JUN 22 13:33:00,51.7892,6.202,422.6836,15.3964,82.37,0.042282,82.4117

MRO,2020 JUN 22 19:33:00,49.9582,-79.9812,301.5354,15.4889,81.8708,6.8811e-14,81.8708
TGO,2020 JUN 22 19:27:00,52.6171,-80.2485,423.3553,15.3736,82.8081,0.069077,82.7392

MRO,2020 JUN 22 21:24:00,46.3163,-106.6252,298.3976,15.5125,79.7297,2.8492e-14,79.7297
TGO,2020 JUN 22 21:24:00,50.2393,-110.7127,422.12,15.24,80.3015,0.07947,80.2221

MRO,2020 JUN 23 08:42:00,61.4881,86.227,307.1848,15.3639,88.8016,2.014e-14,88.8016
TGO,2020 JUN 23 09:15:00,59.7583,83.4976,427.0517,15.7172,89.6571,0.031596,89.6262

MRO,2020 JUN 24 07:06:00,54.261,120.5519,304.1278,15.4469,84.6402,3.4256e-14,84.6402
TGO,2020 JUN 24 06:51:00,56.1102,121.3795,424.4723,15.2589,84.7097,8.533,92.7185

MRO,2020 JUN 24 08:57:00,50.5353,93.9783,300.3958,15.4753,82.41,3.71e-14,82.41
TGO,2020 JUN 24 08:48:00,54.6868,91.1974,423.6494,15.1439,83.0379,0.078434,82.9607

MRO,2020 JUN 24 17:27:00,-66.0155,147.1882,253.9368,3.2928,88.2135,4.6987e-14,88.2135
TGO,2020 JUN 24 17:42:00,-62.8558,149.7894,379.7289,3.7094,88.2463,0.32382,88.5682

MRO,2020 JUN 24 20:12:00,56.419,-71.0341,304.7546,15.4203,85.9946,4.279e-14,85.9946
TGO,2020 JUN 25 20:12:00,58.0377,-67.0175,426.9546,15.0392,85.1078,9.616,94.4007

MRO,2020 JUN 25 14:54:00,57.0967,15.9641,306.5551,15.4147,86.5472,5.0087e-14,86.5472
TGO,2020 JUN 25 14:18:00,58.2863,20.3446,426.3772,15.1231,85.6954,0.070764,85.6299

MRO,2020 JUN 25 20:30:00,54.9839,-65.5141,304.1637,15.4314,85.2865,2.3426e-14,85.2865
TGO,2020 JUN 25 20:12:00,58.0377,-67.0175,426.9546,15.0392,85.1078,9.616,94.4007

MRO,2020 JUN 26 06:51:00,-66.5715,-38.8929,251.476,3.2764,87.6169,1.9083e-14,87.6169
TGO,2020 JUN 26 07:03:00,-65.2389,-36.443,381.1256,3.6342,86.8698,7.0358,93.7655

MRO,2020 JUN 27 04:18:00,57.477,-170.0386,307.7718,15.4031,87.0027,2.0131e-14,87.0027
TGO,2020 JUN 27 03:39:00,60.2654,-167.6518,428.8601,14.9297,86.4237,0.083109,86.3548

MRO,2020 JUN 27 20:15:00,-66.8633,135.0265,252.5843,3.2594,87.2041,4.498e-14,87.2041
TGO,2020 JUN 27 20:24:00,-66.7476,136.4402,379.2893,3.4997,86.2481,1.8276,88.0703

MRO,2020 JUN 30 19:18:00,-66.6093,177.9158,252.8915,3.2464,86.9118,3.2445e-14,86.9118
TGO,2020 JUN 30 19:09:00,-67.3871,175.7022,380.9507,2.9528,87.5215,0.33589,87.8484

MRO,2020 JUL 02 03:06:00,-68.9612,72.6733,249.3867,3.1694,85.3326,3.7439e-14,85.3326
TGO,2020 JUL 02 02:36:00,-68.9134,76.463,380.7696,2.9356,86.2175,4.4761,90.6548

