TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2023 SEP 03 08:12:00,9,9
2023 SEP 04 15:39:00,25,25
2023 SEP 08 08:06:00,70,70
2023 SEP 09 21:27:00,89,89
2023 SEP 12 20:12:00,125,125
2023 SEP 13 02:06:00,128,128
2023 SEP 17 14:12:00,183,183
2023 SEP 22 08:12:00,241,241
2023 SEP 25 06:57:00,277,277
2023 SEP 25 12:51:00,280,280
2023 SEP 27 08:06:00,302,302
2023 SEP 30 12:45:00,341,341
