MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 MAY 17 03:51:21,2020 MAY 17 03:56:21,7,7
2020 MAY 17 17:38:35,2020 MAY 17 17:43:35,14,14
2020 MAY 18 01:31:33,2020 MAY 18 01:36:33,18,18
2020 MAY 18 07:23:55,2020 MAY 18 07:28:55,21,21
2020 MAY 19 03:06:55,2020 MAY 19 03:11:55,31,31
2020 MAY 19 14:53:05,2020 MAY 19 14:58:05,37,37
2020 MAY 20 22:19:12,2020 MAY 20 22:24:12,53,53
2020 MAY 21 00:16:36,2020 MAY 21 00:21:36,54,54
2020 MAY 21 08:06:04,2020 MAY 21 08:11:04,58,58
2020 MAY 24 06:46:55,2020 MAY 24 06:51:55,94,94
2020 MAY 24 16:46:37,2020 MAY 24 16:51:37,99,99
2020 MAY 24 20:42:26,2020 MAY 24 20:47:26,101,101
2020 MAY 24 22:44:33,2020 MAY 24 22:49:33,102,102
2020 MAY 25 06:28:29,2020 MAY 25 06:33:29,106,106
2020 MAY 25 18:05:50,2020 MAY 25 18:10:50,112,112
2020 MAY 26 15:41:56,2020 MAY 26 15:46:56,123,123
2020 MAY 27 07:49:10,2020 MAY 27 07:49:47,131,131
2020 MAY 27 17:38:57,2020 MAY 27 17:43:57,136,136
2020 MAY 29 12:55:54,2020 MAY 29 13:00:54,158,158
2020 MAY 31 00:21:03,2020 MAY 31 00:26:03,176,176
2020 MAY 31 19:32:15,2020 MAY 31 19:37:15,186,186
2020 JUN 01 15:24:39,2020 JUN 01 15:29:39,196,196
2020 JUN 01 23:25:43,2020 JUN 01 23:30:43,200,200
2020 JUN 02 01:36:46,2020 JUN 02 01:41:46,201,201
2020 JUN 02 03:08:13,2020 JUN 02 03:13:13,202,202
2020 JUN 02 11:20:23,2020 JUN 02 11:25:23,206,206
2020 JUN 02 19:11:30,2020 JUN 02 19:16:30,210,210
2020 JUN 02 22:50:56,2020 JUN 02 22:55:56,212,212
2020 JUN 03 00:52:54,2020 JUN 03 00:57:54,213,213
2020 JUN 03 07:07:00,2020 JUN 03 07:12:00,216,216
2020 JUN 03 16:37:39,2020 JUN 03 16:42:39,221,221
2020 JUN 04 06:42:15,2020 JUN 04 06:47:15,228,228
2020 JUN 04 20:16:07,2020 JUN 04 20:21:07,235,235
2020 JUN 05 02:13:16,2020 JUN 05 02:18:16,238,238
2020 JUN 05 10:02:13,2020 JUN 05 10:07:13,242,242
2020 JUN 05 14:02:01,2020 JUN 05 14:07:01,244,244
2020 JUN 05 23:52:34,2020 JUN 05 23:57:34,249,249
2020 JUN 06 05:30:27,2020 JUN 06 05:35:27,252,252
2020 JUN 07 09:21:27,2020 JUN 07 09:26:27,266,266
2020 JUN 07 23:07:00,2020 JUN 07 23:12:00,273,273
2020 JUN 08 04:52:13,2020 JUN 08 04:57:13,276,276
2020 JUN 08 08:59:28,2020 JUN 08 09:04:28,278,278
2020 JUN 08 14:42:04,2020 JUN 08 14:47:04,281,281
2020 JUN 09 10:41:24,2020 JUN 09 10:46:24,291,291
2020 JUN 09 14:28:52,2020 JUN 09 14:28:57,293,293
2020 JUN 10 02:22:19,2020 JUN 10 02:27:19,299,299
2020 JUN 10 04:14:51,2020 JUN 10 04:19:51,300,300
2020 JUN 12 07:11:33,2020 JUN 12 07:16:33,326,326
2020 JUN 12 13:01:29,2020 JUN 12 13:06:29,329,329
2020 JUN 12 14:55:54,2020 JUN 12 15:00:54,330,330
2020 JUN 12 19:09:50,2020 JUN 12 19:14:50,332,332
