UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 06 18:37:50,-113.1,-26.7,16:10:50,63.8,123.8,60.1,28406.1
2017 MAR 06 18:38:00,-111.2,-26.8,16:18:34,62.0,123.7,61.8,28398.8
2017 MAR 06 18:38:10,-109.4,-27.0,16:25:51,60.2,123.6,63.4,28391.5
2017 MAR 06 18:38:20,-107.7,-27.1,16:32:46,58.6,123.5,64.9,28384.1
2017 MAR 06 18:38:30,-106.1,-27.1,16:39:22,57.0,123.4,66.4,28376.8
2017 MAR 06 18:38:40,-104.6,-27.2,16:45:40,55.5,123.3,67.8,28369.5
2017 MAR 06 18:38:50,-103.1,-27.2,16:51:44,54.1,123.2,69.1,28362.1
2017 MAR 06 18:39:00,-101.7,-27.2,16:57:35,52.7,123.1,70.4,28354.8
2017 MAR 06 18:39:10,-100.3,-27.2,17:03:14,51.4,123.0,71.7,28347.4
2017 MAR 06 18:39:20,-99.0,-27.2,17:08:42,50.0,122.9,72.9,28340.1
2017 MAR 06 18:39:30,-97.7,-27.2,17:14:01,48.8,122.8,74.1,28332.7
2017 MAR 06 18:39:40,-96.4,-27.2,17:19:11,47.5,122.7,75.2,28325.4
2017 MAR 06 18:39:50,-95.2,-27.2,17:24:12,46.3,122.6,76.3,28318.0
2017 MAR 06 18:40:00,-94.0,-27.1,17:29:07,45.1,122.5,77.4,28310.6
2017 MAR 06 18:40:10,-92.9,-27.1,17:33:54,44.0,122.4,78.5,28303.3
2017 MAR 06 18:40:20,-91.8,-27.0,17:38:35,42.8,122.3,79.5,28295.9
2017 MAR 06 18:40:30,-90.6,-26.9,17:43:11,41.7,122.2,80.5,28288.5
2017 MAR 06 18:40:40,-89.6,-26.9,17:47:40,40.6,122.1,81.5,28281.1
2017 MAR 06 18:40:50,-88.5,-26.8,17:52:04,39.5,122.0,82.5,28273.7
2017 MAR 06 18:41:00,-87.5,-26.7,17:56:24,38.5,121.9,83.4,28266.4
2017 MAR 06 18:41:10,-86.4,-26.6,18:00:39,37.4,121.8,84.4,28259.0
2017 MAR 06 18:41:20,-85.4,-26.5,18:04:49,36.4,121.7,85.3,28251.6
2017 MAR 06 18:41:30,-84.5,-26.4,18:08:55,35.4,121.6,86.2,28244.2
2017 MAR 06 18:41:40,-83.5,-26.3,18:12:58,34.3,121.5,87.1,28236.7
2017 MAR 06 18:41:50,-82.5,-26.2,18:16:57,33.4,121.4,88.0,28229.3
2017 MAR 06 18:42:00,-81.6,-26.1,18:20:52,32.4,121.3,88.9,28221.9
2017 MAR 06 18:42:10,-80.7,-26.0,18:24:44,31.4,121.2,89.8,28214.5
2017 MAR 06 18:42:20,-79.9,-25.9,18:27:55,30.6,121.1,90.5,28207.1
2017 MAR 06 18:42:30,-79.5,-25.9,18:29:51,30.1,121.0,90.9,28199.6
2017 MAR 06 18:42:40,-79.3,-26.0,18:30:33,30.0,121.0,91.1,28192.2
2017 MAR 06 18:42:50,-79.5,-26.1,18:30:01,30.1,121.0,90.9,28184.8
2017 MAR 06 18:43:00,-80.0,-26.3,18:28:14,30.6,121.1,90.5,28177.3
2017 MAR 06 18:43:10,-80.8,-26.6,18:25:11,31.4,121.2,89.7,28169.9
2017 MAR 06 18:43:20,-81.8,-26.9,18:21:27,32.4,121.3,88.8,28162.4
2017 MAR 06 18:43:30,-82.8,-27.2,18:17:39,33.4,121.4,88.0,28155.0
2017 MAR 06 18:43:40,-83.8,-27.5,18:13:48,34.4,121.5,87.1,28147.5
2017 MAR 06 18:43:50,-84.8,-27.8,18:09:51,35.4,121.6,86.1,28140.1
2017 MAR 06 18:44:00,-85.8,-28.1,18:05:50,36.5,121.7,85.2,28132.6
2017 MAR 06 18:44:10,-86.9,-28.4,18:01:44,37.5,121.8,84.3,28125.1
2017 MAR 06 18:44:20,-88.0,-28.7,17:57:33,38.6,121.9,83.3,28117.6
2017 MAR 06 18:44:30,-89.1,-29.0,17:53:17,39.6,122.0,82.3,28110.2
2017 MAR 06 18:44:40,-90.2,-29.3,17:48:55,40.7,122.1,81.4,28102.7
2017 MAR 06 18:44:50,-91.4,-29.5,17:44:26,41.8,122.2,80.4,28095.2
2017 MAR 06 18:45:00,-92.6,-29.8,17:39:51,42.9,122.3,79.3,28087.7
2017 MAR 06 18:45:10,-93.8,-30.0,17:35:09,44.1,122.4,78.3,28080.2
2017 MAR 06 18:45:20,-95.0,-30.3,17:30:20,45.3,122.5,77.2,28072.7
2017 MAR 06 18:45:30,-96.3,-30.5,17:25:22,46.4,122.6,76.1,28065.2
2017 MAR 06 18:45:40,-97.6,-30.8,17:20:16,47.7,122.7,75.0,28057.7
2017 MAR 06 18:45:50,-99.0,-31.0,17:15:01,48.9,122.8,73.9,28050.2
2017 MAR 06 18:46:00,-100.4,-31.2,17:09:35,50.2,122.9,72.7,28042.7
2017 MAR 06 18:46:10,-101.8,-31.4,17:03:59,51.5,123.0,71.5,28035.2
2017 MAR 06 18:46:20,-103.3,-31.6,16:58:10,52.8,123.1,70.3,28027.6
2017 MAR 06 18:46:30,-104.9,-31.8,16:52:08,54.2,123.2,69.0,28020.1
2017 MAR 06 18:46:40,-106.5,-32.0,16:45:51,55.7,123.3,67.6,28012.6
2017 MAR 06 18:46:50,-108.2,-32.1,16:39:18,57.2,123.4,66.3,28005.0
2017 MAR 06 18:47:00,-109.9,-32.2,16:32:25,58.7,123.5,64.8,27997.5
2017 MAR 06 18:47:10,-111.8,-32.3,16:25:12,60.3,123.6,63.3,27989.9
2017 MAR 06 18:47:20,-113.7,-32.4,16:17:33,62.0,123.7,61.7,27982.4
2017 MAR 06 18:47:30,-115.8,-32.5,16:09:25,63.9,123.8,60.0,27974.8
2017 MAR 06 18:47:40,-118.0,-32.5,16:00:42,65.8,123.9,58.1,27967.3
2017 MAR 06 18:47:50,-120.4,-32.4,15:51:14,67.9,124.0,56.2,27959.7
2017 MAR 06 18:48:00,-123.1,-32.3,15:40:49,70.2,124.1,54.0,27952.2
2017 MAR 06 18:48:10,-126.0,-32.1,15:29:05,72.7,124.2,51.5,27944.6
2017 MAR 06 18:48:20,-129.5,-31.8,15:15:20,75.8,124.3,48.6,27937.0
2017 MAR 06 18:48:30,-133.9,-31.3,14:57:53,79.6,124.4,44.9,27929.4
