TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2024 JUL 07 06:06:00,8,8
2024 JUL 08 19:27:00,27,27
2024 JUL 09 01:21:00,30,30
2024 JUL 10 14:42:00,49,49
2024 JUL 10 20:36:00,52,52
2024 JUL 12 09:57:00,71,71
2024 JUL 15 10:39:00,108,108
2024 JUL 17 00:00:00,127,127
2024 JUL 18 13:21:00,146,146
2024 JUL 20 02:42:00,165,165
2024 JUL 20 08:36:00,168,168
2024 JUL 21 06:12:00,179,179
2024 JUL 22 01:54:00,189,189
2024 JUL 22 19:33:00,198,198
2024 JUL 23 05:24:00,203,203
2024 JUL 26 15:57:00,245,245
2024 JUL 28 05:18:00,264,264
2024 JUL 28 09:15:00,266,266
2024 JUL 29 12:45:00,280,280
2024 JUL 29 12:45:00,280,280
2024 JUL 29 16:42:00,282,282
2024 JUL 29 22:36:00,285,285
2024 JUL 31 00:09:00,298,298
2024 JUL 31 04:06:00,300,300
2024 JUL 31 06:03:00,301,301
2024 JUL 31 10:00:00,303,303
2024 JUL 31 13:57:00,305,305
2024 JUL 31 17:54:00,307,307
2024 AUG 01 17:27:00,319,319
2024 AUG 01 13:30:00,317,317
2024 AUG 01 15:30:00,318,318
2024 AUG 01 19:27:00,320,320
2024 AUG 02 01:21:00,323,323
2024 AUG 03 10:48:00,340,340
2024 AUG 03 12:48:00,341,341
